;UserID;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;Combined_EmploymentItems;Num_EmploymentItems
5118;133721;['teller', 'branch office manager', 'travel agent'];['43-3071', '43-1011', '41-3041'];['43-30', '43-10', '41-30'];['43', '43', '41'];[('43-3071', '43-30', '43', 'teller'), ('43-1011', '43-10', '43', 'branch office manager'), ('41-3041', '41-30', '41', 'travel agent')];3
5120;133747;['senior sales representative', 'northeast regional manager', 'eastern regional manager account manager', 'sales representative'];['41-4012', '11-2022', '11-2022', '41-4012'];['41-40', '11-20', '11-20', '41-40'];['41', '11', '11', '41'];[('41-4012', '41-40', '41', 'senior sales representative'), ('11-2022', '11-20', '11', 'northeast regional manager'), ('11-2022', '11-20', '11', 'eastern regional manager account manager'), ('41-4012', '41-40', '41', 'sales representative')];4
5121;133806;['partner new wholesale lumber', 'sales manager', 'national accounts mgr', 'trader', 'trader', 'owner president'];['41-4012', '11-2022', '11-2022', '41-3031', '41-3031', '11-1011'];['41-40', '11-20', '11-20', '41-30', '41-30', '11-10'];['41', '11', '11', '41', '41', '11'];[('41-4012', '41-40', '41', 'partner new wholesale lumber'), ('11-2022', '11-20', '11', 'sales manager'), ('11-2022', '11-20', '11', 'national accounts mgr'), ('41-3031', '41-30', '41', 'trader'), ('41-3031', '41-30', '41', 'trader'), ('11-1011', '11-10', '11', 'owner president')];6
5122;133808;['medical assistant phlebotomist desk', 'medical assistant', 'medical assistant medical screener', 'medical assistant desk phlebotomist office'];['31-9092', '31-9092', '31-9092', '31-9092'];['31-90', '31-90', '31-90', '31-90'];['31', '31', '31', '31'];[('31-9092', '31-90', '31', 'medical assistant phlebotomist desk'), ('31-9092', '31-90', '31', 'medical assistant'), ('31-9092', '31-90', '31', 'medical assistant medical screener'), ('31-9092', '31-90', '31', 'medical assistant desk phlebotomist office')];4
5124;133832;['purchasing agent', 'student services marketing support coordinator', 'buyer soft goods strategic sourcing', 'senior administrative assistant marketing'];['13-1023', '13-1161', '13-1023', '43-6011'];['13-10', '13-10', '13-10', '43-60'];['13', '13', '13', '43'];[('13-1023', '13-10', '13', 'purchasing agent'), ('13-1161', '13-10', '13', 'student services marketing support coordinator'), ('13-1023', '13-10', '13', 'buyer soft goods strategic sourcing'), ('43-6011', '43-60', '43', 'senior administrative assistant marketing')];4
5125;133860;['social worker medical unit', 'social worker medical unit'];['21-1022', '21-1022'];['21-10', '21-10'];['21', '21'];[('21-1022', '21-10', '21', 'social worker medical unit'), ('21-1022', '21-10', '21', 'social worker medical unit')];2
5126;133874;['project manager', 'technical support', 'laborer finisher'];['13-1082', '15-1232', '47-2061'];['13-10', '15-12', '47-20'];['13', '15', '47'];[('13-1082', '13-10', '13', 'project manager'), ('15-1232', '15-12', '15', 'technical support'), ('47-2061', '47-20', '47', 'laborer finisher')];3
5127;133890;['vehicle service representative', 'accounting associate', 'accounting clerk', 'teller', 'assistant store manager'];['41-2021', '43-3031', '43-3031', '43-3071', '41-1011'];['41-20', '43-30', '43-30', '43-30', '41-10'];['41', '43', '43', '43', '41'];[('41-2021', '41-20', '41', 'vehicle service representative'), ('43-3031', '43-30', '43', 'accounting associate'), ('43-3031', '43-30', '43', 'accounting clerk'), ('43-3071', '43-30', '43', 'teller'), ('41-1011', '41-10', '41', 'assistant store manager')];5
5128;133930;['sr business process analyst team lead', 'senior systems administrator bae systems', 'senior systems analyst bae systems', 'associate systems analyst bae systems', 'data analyst iii knowledgebase documentation specialist department state overseas support services'];['13-1111', '15-1244', '15-1211', '15-1211', '15-1232'];['13-10', '15-12', '15-12', '15-12', '15-12'];['13', '15', '15', '15', '15'];[('13-1111', '13-10', '13', 'sr business process analyst team lead'), ('15-1244', '15-12', '15', 'senior systems administrator bae systems'), ('15-1211', '15-12', '15', 'senior systems analyst bae systems'), ('15-1211', '15-12', '15', 'associate systems analyst bae systems'), ('15-1232', '15-12', '15', 'data analyst iii knowledgebase documentation specialist department state overseas support services')];5
5129;133940;['night distribution manager', 'warehouse manager', 'floor supervisor'];['11-3071', '11-3071', '41-1011'];['11-30', '11-30', '41-10'];['11', '11', '41'];[('11-3071', '11-30', '11', 'night distribution manager'), ('11-3071', '11-30', '11', 'warehouse manager'), ('41-1011', '41-10', '41', 'floor supervisor')];3
5131;133966;['clerical worker', 'account collectors', 'office worker', 'file clerk', 'receptionist', 'customers service representative'];['43-9061', '43-3011', '43-9061', '43-4071', '43-4171', '43-4051'];['43-90', '43-30', '43-90', '43-40', '43-40', '43-40'];['43', '43', '43', '43', '43', '43'];[('43-9061', '43-90', '43', 'clerical worker'), ('43-3011', '43-30', '43', 'account collectors'), ('43-9061', '43-90', '43', 'office worker'), ('43-4071', '43-40', '43', 'file clerk'), ('43-4171', '43-40', '43', 'receptionist'), ('43-4051', '43-40', '43', 'customers service representative')];6
5132;133974;['cashiering specialist', 'route driver', 'manager', 'assistant sales manager'];['41-2031', '53-3031', '11-1021', '41-1011'];['41-20', '53-30', '11-10', '41-10'];['41', '53', '11', '41'];[('41-2031', '41-20', '41', 'cashiering specialist'), ('53-3031', '53-30', '53', 'route driver'), ('11-1021', '11-10', '11', 'manager'), ('41-1011', '41-10', '41', 'assistant sales manager')];4
5133;134005;['business office manager', 'business office manager', 'business office manager'];['11-3012', '11-3012', '11-3012'];['11-30', '11-30', '11-30'];['11', '11', '11'];[('11-3012', '11-30', '11', 'business office manager'), ('11-3012', '11-30', '11', 'business office manager'), ('11-3012', '11-30', '11', 'business office manager')];3
5135;134014;['clerk', 'guest service agent', 'general manager', 'guest service manager', 'guest service manager', 'computer operator'];['43-9061', '43-4081', '11-1021', '43-1011', '43-1011', '15-1299'];['43-90', '43-40', '11-10', '43-10', '43-10', '15-12'];['43', '43', '11', '43', '43', '15'];[('43-9061', '43-90', '43', 'clerk'), ('43-4081', '43-40', '43', 'guest service agent'), ('11-1021', '11-10', '11', 'general manager'), ('43-1011', '43-10', '43', 'guest service manager'), ('43-1011', '43-10', '43', 'guest service manager'), ('15-1299', '15-12', '15', 'computer operator')];6
5136;134020;['bar', 'sales'];['35-3011', '41-2031'];['35-30', '41-20'];['35', '41'];[('35-3011', '35-30', '35', 'bar'), ('41-2031', '41-20', '41', 'sales')];2
5137;134080;['product manager project manger health systems', 'program coordinator project manager'];['11-3021', '15-1299'];['11-30', '15-12'];['11', '15'];[('11-3021', '11-30', '11', 'product manager project manger health systems'), ('15-1299', '15-12', '15', 'program coordinator project manager')];2
5138;134082;['purchasing inventory specialist', 'charge secretary bookkeeper'];['13-1023', '43-6014'];['13-10', '43-60'];['13', '43'];[('13-1023', '13-10', '13', 'purchasing inventory specialist'), ('43-6014', '43-60', '43', 'charge secretary bookkeeper')];2
5139;134103;['project consultant', 'project manager'];['13-1082', '13-1082'];['13-10', '13-10'];['13', '13'];[('13-1082', '13-10', '13', 'project consultant'), ('13-1082', '13-10', '13', 'project manager')];2
5140;134142;['manufacturing production cell guide', 'inside sales representative'];['51-1011', '41-4012'];['51-10', '41-40'];['51', '41'];[('51-1011', '51-10', '51', 'manufacturing production cell guide'), ('41-4012', '41-40', '41', 'inside sales representative')];2
5141;134161;['executive assistant president', 'customer service manager m r americas'];['43-6011', '43-1011'];['43-60', '43-10'];['43', '43'];[('43-6011', '43-60', '43', 'executive assistant president'), ('43-1011', '43-10', '43', 'customer service manager m r americas')];2
5142;134165;['polysomnographic technologist total sleep management', 'polysomnographic technologist', 'polysomnographic technologist', 'lead polysomnographic technologist', 'polysomnographic technologist'];['29-2099', '29-2099', '29-2099', '29-2099', '29-2099'];['29-20', '29-20', '29-20', '29-20', '29-20'];['29', '29', '29', '29', '29'];[('29-2099', '29-20', '29', 'polysomnographic technologist total sleep management'), ('29-2099', '29-20', '29', 'polysomnographic technologist'), ('29-2099', '29-20', '29', 'polysomnographic technologist'), ('29-2099', '29-20', '29', 'lead polysomnographic technologist'), ('29-2099', '29-20', '29', 'polysomnographic technologist')];5
5143;134179;['human resource recruiter', 'human resource trainer coordinator', 'office clerk', 'accounting clerk'];['13-1071', '13-1151', '43-9061', '43-3031'];['13-10', '13-10', '43-90', '43-30'];['13', '13', '43', '43'];[('13-1071', '13-10', '13', 'human resource recruiter'), ('13-1151', '13-10', '13', 'human resource trainer coordinator'), ('43-9061', '43-90', '43', 'office clerk'), ('43-3031', '43-30', '43', 'accounting clerk')];4
5144;134251;['millwright', 'millwright'];['49-9044', '49-9044'];['49-90', '49-90'];['49', '49'];[('49-9044', '49-90', '49', 'millwright'), ('49-9044', '49-90', '49', 'millwright')];2
5146;134268;['project manager', 'project manager', 'product manager architect', 'product manager', 'oem account manager'];['13-1082', '13-1082', '11-9041', '11-2021', '11-2022'];['13-10', '13-10', '11-90', '11-20', '11-20'];['13', '13', '11', '11', '11'];[('13-1082', '13-10', '13', 'project manager'), ('13-1082', '13-10', '13', 'project manager'), ('11-9041', '11-90', '11', 'product manager architect'), ('11-2021', '11-20', '11', 'product manager'), ('11-2022', '11-20', '11', 'oem account manager')];5
5148;134309;['head cashier', 'della nona corp dba bocca'];['41-2011', '15-1242'];['41-20', '15-12'];['41', '15'];[('41-2011', '41-20', '41', 'head cashier'), ('15-1242', '15-12', '15', 'della nona corp dba bocca')];2
5149;134318;['staff accountant', 'senior accountant', 'controller'];['13-2011', '13-2011', '11-3031'];['13-20', '13-20', '11-30'];['13', '13', '11'];[('13-2011', '13-20', '13', 'staff accountant'), ('13-2011', '13-20', '13', 'senior accountant'), ('11-3031', '11-30', '11', 'controller')];3
5151;134357;['assistant executive director', 'coordinator independent living services', 'community support facilitator'];['43-6011', '21-1093', '21-1093'];['43-60', '21-10', '21-10'];['43', '21', '21'];[('43-6011', '43-60', '43', 'assistant executive director'), ('21-1093', '21-10', '21', 'coordinator independent living services'), ('21-1093', '21-10', '21', 'community support facilitator')];3
5152;134364;['sales consultant', 'regional sales leader', 'field representative', 'logistics specialist', 'transportation logistics coordinator broker'];['41-2031', '11-2022', '41-4012', '13-1081', '43-5011'];['41-20', '11-20', '41-40', '13-10', '43-50'];['41', '11', '41', '13', '43'];[('41-2031', '41-20', '41', 'sales consultant'), ('11-2022', '11-20', '11', 'regional sales leader'), ('41-4012', '41-40', '41', 'field representative'), ('13-1081', '13-10', '13', 'logistics specialist'), ('43-5011', '43-50', '43', 'transportation logistics coordinator broker')];5
5153;134369;['vendor marketing manager ii', 'vendor marketing manager', 'manager marketing advertising', 'facility operations coordinator', 'production supervisor'];['11-2021', '11-2021', '11-2021', '51-1011', '51-1011'];['11-20', '11-20', '11-20', '51-10', '51-10'];['11', '11', '11', '51', '51'];[('11-2021', '11-20', '11', 'vendor marketing manager ii'), ('11-2021', '11-20', '11', 'vendor marketing manager'), ('11-2021', '11-20', '11', 'manager marketing advertising'), ('51-1011', '51-10', '51', 'facility operations coordinator'), ('51-1011', '51-10', '51', 'production supervisor')];5
5154;134379;['director', 'time', 'placement specialist vocational counselors case manager', 'director admissions guidance'];['11-1011', '43-3051', '21-1015', '21-1012'];['11-10', '43-30', '21-10', '21-10'];['11', '43', '21', '21'];[('11-1011', '11-10', '11', 'director'), ('43-3051', '43-30', '43', 'time'), ('21-1015', '21-10', '21', 'placement specialist vocational counselors case manager'), ('21-1012', '21-10', '21', 'director admissions guidance')];4
5157;134474;['route sales driver customer service', 'driver customer service'];['53-3031', '53-3033'];['53-30', '53-30'];['53', '53'];[('53-3031', '53-30', '53', 'route sales driver customer service'), ('53-3033', '53-30', '53', 'driver customer service')];2
5158;134482;['manager', 'cashier', 'manager', 'manager'];['11-1021', '41-2011', '11-1021', '11-1021'];['11-10', '41-20', '11-10', '11-10'];['11', '41', '11', '11'];[('11-1021', '11-10', '11', 'manager'), ('41-2011', '41-20', '41', 'cashier'), ('11-1021', '11-10', '11', 'manager'), ('11-1021', '11-10', '11', 'manager')];4
5159;134488;['purchasing agent', 'procurement specialist', 'purchasing analyst', 'contract administrator', 'purchasing assistant', 'access administrator', 'assistant buyer'];['13-1023', '13-1023', '13-1023', '13-1023', '43-9061', '15-1244', '13-1023'];['13-10', '13-10', '13-10', '13-10', '43-90', '15-12', '13-10'];['13', '13', '13', '13', '43', '15', '13'];[('13-1023', '13-10', '13', 'purchasing agent'), ('13-1023', '13-10', '13', 'procurement specialist'), ('13-1023', '13-10', '13', 'purchasing analyst'), ('13-1023', '13-10', '13', 'contract administrator'), ('43-9061', '43-90', '43', 'purchasing assistant'), ('15-1244', '15-12', '15', 'access administrator'), ('13-1023', '13-10', '13', 'assistant buyer')];7
5160;134494;['director finance county wide housing authority', 'temporary accountant', 'temporary staff accountant', 'assisted homeless programs supportive housing coordinator', 'business manager', 'senior accountant', 'staff accountant'];['11-1011', '13-2011', '13-2011', '21-1093', '11-1021', '13-2011', '13-2011'];['11-10', '13-20', '13-20', '21-10', '11-10', '13-20', '13-20'];['11', '13', '13', '21', '11', '13', '13'];[('11-1011', '11-10', '11', 'director finance county wide housing authority'), ('13-2011', '13-20', '13', 'temporary accountant'), ('13-2011', '13-20', '13', 'temporary staff accountant'), ('21-1093', '21-10', '21', 'assisted homeless programs supportive housing coordinator'), ('11-1021', '11-10', '11', 'business manager'), ('13-2011', '13-20', '13', 'senior accountant'), ('13-2011', '13-20', '13', 'staff accountant')];7
5161;134501;['hr generalist', 'benefits coordinator', 'human resources generalist', 'hiring manager area manger'];['13-1071', '13-1141', '13-1071', '11-1021'];['13-10', '13-10', '13-10', '11-10'];['13', '13', '13', '11'];[('13-1071', '13-10', '13', 'hr generalist'), ('13-1141', '13-10', '13', 'benefits coordinator'), ('13-1071', '13-10', '13', 'human resources generalist'), ('11-1021', '11-10', '11', 'hiring manager area manger')];4
5162;134508;['desk', 'reo project lead', 'shipper order processing inventory', 'debt collector'];['43-4081', '13-1082', '43-5071', '43-3011'];['43-40', '13-10', '43-50', '43-30'];['43', '13', '43', '43'];[('43-4081', '43-40', '43', 'desk'), ('13-1082', '13-10', '13', 'reo project lead'), ('43-5071', '43-50', '43', 'shipper order processing inventory'), ('43-3011', '43-30', '43', 'debt collector')];4
5163;134528;['customer service rep', 'manager', 'data entry processor'];['43-4051', '11-1021', '43-9021'];['43-40', '11-10', '43-90'];['43', '11', '43'];[('43-4051', '43-40', '43', 'customer service rep'), ('11-1021', '11-10', '11', 'manager'), ('43-9021', '43-90', '43', 'data entry processor')];3
5164;134531;['assistant', 'access developer', 'accounting assistant', 'accounting manager', 'programmer analyst', 'mis assistant', 'office manager', 'senior staff accountant'];['43-6014', '15-1251', '43-3031', '11-3031', '15-1211', '43-6014', '43-1011', '13-2011'];['43-60', '15-12', '43-30', '11-30', '15-12', '43-60', '43-10', '13-20'];['43', '15', '43', '11', '15', '43', '43', '13'];[('43-6014', '43-60', '43', 'assistant'), ('15-1251', '15-12', '15', 'access developer'), ('43-3031', '43-30', '43', 'accounting assistant'), ('11-3031', '11-30', '11', 'accounting manager'), ('15-1211', '15-12', '15', 'programmer analyst'), ('43-6014', '43-60', '43', 'mis assistant'), ('43-1011', '43-10', '43', 'office manager'), ('13-2011', '13-20', '13', 'senior staff accountant')];8
5165;134597;['store manager general manager', 'assistant store manager', 'assistant store manager'];['11-1021', '41-1011', '41-1011'];['11-10', '41-10', '41-10'];['11', '41', '41'];[('11-1021', '11-10', '11', 'store manager general manager'), ('41-1011', '41-10', '41', 'assistant store manager'), ('41-1011', '41-10', '41', 'assistant store manager')];3
5166;134618;['production manager', 'plant manager', 'lean process engineer', 'manufacturing operations manager', 'production manager'];['11-3051', '11-1021', '17-2112', '11-1021', '11-3051'];['11-30', '11-10', '17-20', '11-10', '11-30'];['11', '11', '17', '11', '11'];[('11-3051', '11-30', '11', 'production manager'), ('11-1021', '11-10', '11', 'plant manager'), ('17-2112', '17-20', '17', 'lean process engineer'), ('11-1021', '11-10', '11', 'manufacturing operations manager'), ('11-3051', '11-30', '11', 'production manager')];5
5167;134649;['driver', 'fleet manager', 'production coordinator'];['53-3032', '11-3071', '51-1011'];['53-30', '11-30', '51-10'];['53', '11', '51'];[('53-3032', '53-30', '53', 'driver'), ('11-3071', '11-30', '11', 'fleet manager'), ('51-1011', '51-10', '51', 'production coordinator')];3
5168;134678;['operations manager', 'plant manager corning ar facility team leader', 'manufacturing engineering manager process facilities maintenance industrial engineering leadership', 'manager shop operations machining stamping painting assembly scheduling responsibility', 'manager industrial engineering capacity planning senior', 'purchasing agent'];['11-1021', '11-1021', '17-2112', '51-1011', '17-2112', '13-1023'];['11-10', '11-10', '17-20', '51-10', '17-20', '13-10'];['11', '11', '17', '51', '17', '13'];[('11-1021', '11-10', '11', 'operations manager'), ('11-1021', '11-10', '11', 'plant manager corning ar facility team leader'), ('17-2112', '17-20', '17', 'manufacturing engineering manager process facilities maintenance industrial engineering leadership'), ('51-1011', '51-10', '51', 'manager shop operations machining stamping painting assembly scheduling responsibility'), ('17-2112', '17-20', '17', 'manager industrial engineering capacity planning senior'), ('13-1023', '13-10', '13', 'purchasing agent')];6
5169;134689;['propane filler dock forklift operator', 'delivery driver'];['53-7051', '53-3033'];['53-70', '53-30'];['53', '53'];[('53-7051', '53-70', '53', 'propane filler dock forklift operator'), ('53-3033', '53-30', '53', 'delivery driver')];2
5170;134696;['human resources assistant', 'dba'];['43-4161', '15-1242'];['43-40', '15-12'];['43', '15'];[('43-4161', '43-40', '43', 'human resources assistant'), ('15-1242', '15-12', '15', 'dba')];2
5171;134736;['bartender', 'general manager', 'bartender', 'warehouseman', 'warehouse manager', 'lead shipper'];['35-3011', '11-1021', '35-3011', '53-7062', '11-3071', '43-5011'];['35-30', '11-10', '35-30', '53-70', '11-30', '43-50'];['35', '11', '35', '53', '11', '43'];[('35-3011', '35-30', '35', 'bartender'), ('11-1021', '11-10', '11', 'general manager'), ('35-3011', '35-30', '35', 'bartender'), ('53-7062', '53-70', '53', 'warehouseman'), ('11-3071', '11-30', '11', 'warehouse manager'), ('43-5011', '43-50', '43', 'lead shipper')];6
5172;134764;['lead piping designer', 'senior piping designer'];['17-2141', '17-2141'];['17-20', '17-20'];['17', '17'];[('17-2141', '17-20', '17', 'lead piping designer'), ('17-2141', '17-20', '17', 'senior piping designer')];2
5173;134781;['inbound customer focused sales consultant', 'mail handler clerk', 'training supervisor', 'exec admin assistant'];['41-3091', '43-5051', '13-1151', '43-6011'];['41-30', '43-50', '13-10', '43-60'];['41', '43', '13', '43'];[('41-3091', '41-30', '41', 'inbound customer focused sales consultant'), ('43-5051', '43-50', '43', 'mail handler clerk'), ('13-1151', '13-10', '13', 'training supervisor'), ('43-6011', '43-60', '43', 'exec admin assistant')];4
5174;134812;['licensed vocational nurse', 'real estate agent loan officer', 'licensed vocational nurse', 'licensed vocational nurse', 'licensed vocational nurse'];['29-2061', '13-2072', '29-2061', '29-2061', '29-2061'];['29-20', '13-20', '29-20', '29-20', '29-20'];['29', '13', '29', '29', '29'];[('29-2061', '29-20', '29', 'licensed vocational nurse'), ('13-2072', '13-20', '13', 'real estate agent loan officer'), ('29-2061', '29-20', '29', 'licensed vocational nurse'), ('29-2061', '29-20', '29', 'licensed vocational nurse'), ('29-2061', '29-20', '29', 'licensed vocational nurse')];5
5175;134887;['realtor association management cooperative ramco manager', 'director government affairs', 'technology consultant corporate trainer'];['11-9141', '11-1011', '13-1151'];['11-90', '11-10', '13-10'];['11', '11', '13'];[('11-9141', '11-90', '11', 'realtor association management cooperative ramco manager'), ('11-1011', '11-10', '11', 'director government affairs'), ('13-1151', '13-10', '13', 'technology consultant corporate trainer')];3
5176;134929;['capstone project team manager', 'facilities maintenance technician'];['13-1082', '49-9071'];['13-10', '49-90'];['13', '49'];[('13-1082', '13-10', '13', 'capstone project team manager'), ('49-9071', '49-90', '49', 'facilities maintenance technician')];2
5177;135006;['legal secretary', 'executive assistant project coordinator'];['43-6012', '43-6011'];['43-60', '43-60'];['43', '43'];[('43-6012', '43-60', '43', 'legal secretary'), ('43-6011', '43-60', '43', 'executive assistant project coordinator')];2
5180;135105;['customer service sales representative', 'customer marketing sales associate', 'national accounts sales associate'];['41-2031', '41-2031', '41-4012'];['41-20', '41-20', '41-40'];['41', '41', '41'];[('41-2031', '41-20', '41', 'customer service sales representative'), ('41-2031', '41-20', '41', 'customer marketing sales associate'), ('41-4012', '41-40', '41', 'national accounts sales associate')];3
5181;135136;['certified medical billing specialist', 'technician npa certified phlebotomy technician'];['43-3021', '31-9097'];['43-30', '31-90'];['43', '31'];[('43-3021', '43-30', '43', 'certified medical billing specialist'), ('31-9097', '31-90', '31', 'technician npa certified phlebotomy technician')];2
5182;135139;['medical receptionist', 'sales', 'medical assistant'];['43-4171', '41-2031', '31-9092'];['43-40', '41-20', '31-90'];['43', '41', '31'];[('43-4171', '43-40', '43', 'medical receptionist'), ('41-2031', '41-20', '41', 'sales'), ('31-9092', '31-90', '31', 'medical assistant')];3
5183;135140;['registered nurse mother baby gyn unit', 'travel registered nurse assignment', 'travel registered nurse assignment', 'registered nurse post op surgical unit'];['29-1141', '29-1141', '29-1141', '29-1141'];['29-10', '29-10', '29-10', '29-10'];['29', '29', '29', '29'];[('29-1141', '29-10', '29', 'registered nurse mother baby gyn unit'), ('29-1141', '29-10', '29', 'travel registered nurse assignment'), ('29-1141', '29-10', '29', 'travel registered nurse assignment'), ('29-1141', '29-10', '29', 'registered nurse post op surgical unit')];4
5185;135150;['vb.net programmer', 'flash programmer', 'cSS .net developer'];['15-1251', '15-1251', '15-1254'];['15-12', '15-12', '15-12'];['15', '15', '15'];[('15-1251', '15-12', '15', 'vb.net programmer'), ('15-1251', '15-12', '15', 'flash programmer'), ('15-1254', '15-12', '15', 'cSS .net developer')];3
5186;135252;['executive assistant', 'clerical'];['43-6011', '43-9061'];['43-60', '43-90'];['43', '43'];[('43-6011', '43-60', '43', 'executive assistant'), ('43-9061', '43-90', '43', 'clerical')];2
5187;135278;['senior project manager program manager', 'project manager sr software engineer', 'consultant'];['15-1299', '15-1252', '13-1111'];['15-12', '15-12', '13-10'];['15', '15', '13'];[('15-1299', '15-12', '15', 'senior project manager program manager'), ('15-1252', '15-12', '15', 'project manager sr software engineer'), ('13-1111', '13-10', '13', 'consultant')];3
5189;135428;['internal audit manager', 'internal control consultant', 'controller', 'senior financial analyst accountant'];['11-3031', '13-2011', '11-3031', '13-2011'];['11-30', '13-20', '11-30', '13-20'];['11', '13', '11', '13'];[('11-3031', '11-30', '11', 'internal audit manager'), ('13-2011', '13-20', '13', 'internal control consultant'), ('11-3031', '11-30', '11', 'controller'), ('13-2011', '13-20', '13', 'senior financial analyst accountant')];4
5190;135461;['human resources recruiting coordinator', 'executive assistant', 'dental office manager', 'assistant office manager'];['13-1071', '43-6011', '43-6013', '43-6014'];['13-10', '43-60', '43-60', '43-60'];['13', '43', '43', '43'];[('13-1071', '13-10', '13', 'human resources recruiting coordinator'), ('43-6011', '43-60', '43', 'executive assistant'), ('43-6013', '43-60', '43', 'dental office manager'), ('43-6014', '43-60', '43', 'assistant office manager')];4
5191;135468;['lead recruiter', 'recruiter ii', 'executive recruiter'];['13-1071', '13-1071', '13-1071'];['13-10', '13-10', '13-10'];['13', '13', '13'];[('13-1071', '13-10', '13', 'lead recruiter'), ('13-1071', '13-10', '13', 'recruiter ii'), ('13-1071', '13-10', '13', 'executive recruiter')];3
5192;135469;['educational recruiter', 'military admissions representative', 'admissions representative', 'sales consultant', 'executive banking recruiter', 'assistant branch manager collections manager', 'financial representative', 'branch manager', 'mortgage consultant'];['13-1071', '43-4111', '43-4111', '41-2031', '13-1071', '11-3031', '41-3031', '11-1021', '13-2072'];['13-10', '43-40', '43-40', '41-20', '13-10', '11-30', '41-30', '11-10', '13-20'];['13', '43', '43', '41', '13', '11', '41', '11', '13'];[('13-1071', '13-10', '13', 'educational recruiter'), ('43-4111', '43-40', '43', 'military admissions representative'), ('43-4111', '43-40', '43', 'admissions representative'), ('41-2031', '41-20', '41', 'sales consultant'), ('13-1071', '13-10', '13', 'executive banking recruiter'), ('11-3031', '11-30', '11', 'assistant branch manager collections manager'), ('41-3031', '41-30', '41', 'financial representative'), ('11-1021', '11-10', '11', 'branch manager'), ('13-2072', '13-20', '13', 'mortgage consultant')];9
5193;135510;['lead check specialist field services', 'customer service specialist scheduling team leader'];['21-1093', '43-4051'];['21-10', '43-40'];['21', '43'];[('21-1093', '21-10', '21', 'lead check specialist field services'), ('43-4051', '43-40', '43', 'customer service specialist scheduling team leader')];2
5194;135514;['security officer', 'security officer', 'sales assistant', 'sales associate', 'sales manager', 'sales person'];['33-9032', '33-9032', '41-2031', '41-2031', '11-2022', '41-2031'];['33-90', '33-90', '41-20', '41-20', '11-20', '41-20'];['33', '33', '41', '41', '11', '41'];[('33-9032', '33-90', '33', 'security officer'), ('33-9032', '33-90', '33', 'security officer'), ('41-2031', '41-20', '41', 'sales assistant'), ('41-2031', '41-20', '41', 'sales associate'), ('11-2022', '11-20', '11', 'sales manager'), ('41-2031', '41-20', '41', 'sales person')];6
5195;135515;['supervisor administrative procedures', 'casualty claims adjuster', 'operations manager fulfillment'];['43-1011', '13-1031', '11-1021'];['43-10', '13-10', '11-10'];['43', '13', '11'];[('43-1011', '43-10', '43', 'supervisor administrative procedures'), ('13-1031', '13-10', '13', 'casualty claims adjuster'), ('11-1021', '11-10', '11', 'operations manager fulfillment')];3
5196;135532;['administrative assistant educational director', 'owner president', 'sr office assistant automated sys computer help desk coordinator', 'secretary', 'office assistant', 'csea typist', 'csea secretary primary school extended time reading program'];['43-6011', '11-1011', '15-1232', '43-6014', '43-6014', '43-9022', '43-6014'];['43-60', '11-10', '15-12', '43-60', '43-60', '43-90', '43-60'];['43', '11', '15', '43', '43', '43', '43'];[('43-6011', '43-60', '43', 'administrative assistant educational director'), ('11-1011', '11-10', '11', 'owner president'), ('15-1232', '15-12', '15', 'sr office assistant automated sys computer help desk coordinator'), ('43-6014', '43-60', '43', 'secretary'), ('43-6014', '43-60', '43', 'office assistant'), ('43-9022', '43-90', '43', 'csea typist'), ('43-6014', '43-60', '43', 'csea secretary primary school extended time reading program')];7
5197;135538;['supervisor', 'end catering manager', 'manager'];['51-1011', '11-9051', '11-1021'];['51-10', '11-90', '11-10'];['51', '11', '11'];[('51-1011', '51-10', '51', 'supervisor'), ('11-9051', '11-90', '11', 'end catering manager'), ('11-1021', '11-10', '11', 'manager')];3
5198;135601;['4th grade teacher', '4th grade teacher picture rocks elementary school', '4th grade teacher', 'sales representative', 'district sales manager', 'industrial marketing representative'];['25-2021', '25-2021', '25-2021', '41-4012', '11-2022', '41-4012'];['25-20', '25-20', '25-20', '41-40', '11-20', '41-40'];['25', '25', '25', '41', '11', '41'];[('25-2021', '25-20', '25', '4th grade teacher'), ('25-2021', '25-20', '25', '4th grade teacher picture rocks elementary school'), ('25-2021', '25-20', '25', '4th grade teacher'), ('41-4012', '41-40', '41', 'sales representative'), ('11-2022', '11-20', '11', 'district sales manager'), ('41-4012', '41-40', '41', 'industrial marketing representative')];6
5199;135633;['home health aide', 'direct support staff', 'customer service rep'];['31-1121', '31-1122', '43-4051'];['31-10', '31-10', '43-40'];['31', '31', '43'];[('31-1121', '31-10', '31', 'home health aide'), ('31-1122', '31-10', '31', 'direct support staff'), ('43-4051', '43-40', '43', 'customer service rep')];3
5200;135677;['human resources manager', 'loss prevention manager', 'employee benefits representative'];['11-3121', '11-9199', '13-1141'];['11-30', '11-90', '13-10'];['11', '11', '13'];[('11-3121', '11-30', '11', 'human resources manager'), ('11-9199', '11-90', '11', 'loss prevention manager'), ('13-1141', '13-10', '13', 'employee benefits representative')];3
5202;135731;['channel vendor manager duties', 'senior consultant', 'service rep'];['11-2021', '13-1111', '43-4051'];['11-20', '13-10', '43-40'];['11', '13', '43'];[('11-2021', '11-20', '11', 'channel vendor manager duties'), ('13-1111', '13-10', '13', 'senior consultant'), ('43-4051', '43-40', '43', 'service rep')];3
