Id	MajorGroup	MinorGroup	DetailedOccupation	JobTitle_tokens	JobTitle_tokens_idx
7612	13	13-10	13-1151	human resource trainer coordinator	[33, 150, 110, 14]
7613	49	49-90	49-9044	millwright	[1656]
7614	11	11-90	11-9041	product manager architect	[107, 1, 315]
7615	11	11-20	11-2022	oem account manager	[1351, 29, 1]
7616	15	15-12	15-1242	della nona corp dba bocca	[0, 0, 1141, 382, 0]
7617	43	43-60	43-6011	assistant executive director	[2, 19, 16]
7618	21	21-10	21-1093	coordinator independent living services	[14, 296, 532, 47]
7619	21	21-10	21-1093	community support facilitator	[189, 17, 394]
7620	11	11-20	11-2022	regional sales leader	[69, 3, 109]
7621	43	43-50	43-5011	transportation logistics coordinator broker	[338, 155, 14, 312]
7622	11	11-20	11-2021	vendor marketing manager ii	[481, 35, 1, 61]
7623	11	11-20	11-2021	vendor marketing manager	[481, 35, 1]
7624	11	11-20	11-2021	manager marketing advertising	[1, 35, 297]
7625	51	51-10	51-1011	facility operations coordinator	[233, 20, 14]
7626	21	21-10	21-1015	placement specialist vocational counselors case manager	[935, 7, 522, 0, 114, 1]
7627	21	21-10	21-1012	director admissions guidance	[16, 255, 780]
7628	53	53-30	53-3031	route sales driver customer service	[227, 3, 25, 5, 4]
7629	53	53-30	53-3033	driver customer service	[25, 5, 4]
7630	13	13-10	13-1023	purchasing analyst	[86, 11]
7631	15	15-12	15-1244	access administrator	[372, 34]
7632	11	11-10	11-1011	director finance county wide housing authority	[16, 93, 517, 0, 765, 0]
7633	13	13-20	13-2011	temporary accountant	[157, 36]
7634	13	13-20	13-2011	temporary staff accountant	[157, 52, 36]
7635	21	21-10	21-1093	assisted homeless programs supportive housing coordinator	[721, 0, 539, 1574, 765, 14]
7636	11	11-10	11-1021	hiring manager area manger	[1639, 1, 146, 273]
7637	13	13-10	13-1082	reo project lead	[1502, 23, 37]
7638	43	43-50	43-5071	shipper order processing inventory	[443, 185, 302, 90]
7639	43	43-90	43-9021	data entry processor	[45, 59, 112]
7640	15	15-12	15-1251	access developer	[372, 66]
7641	43	43-60	43-6014	mis assistant	[362, 2]
7642	11	11-10	11-1021	store manager general manager	[39, 1, 32, 1]
7643	17	17-20	17-2112	lean process engineer	[897, 246, 22]
7644	11	11-30	11-3071	fleet manager	[343, 1]
7645	11	11-10	11-1021	plant manager corning ar facility team leader	[184, 1, 0, 703, 233, 75, 109]
7646	17	17-20	17-2112	manufacturing engineering manager process facilities maintenance industrial engineering leadership	[151, 177, 1, 246, 277, 72, 294, 177, 571]
7647	51	51-10	51-1011	manager shop operations machining stamping painting assembly scheduling responsibility	[1, 304, 20, 0, 0, 1315, 557, 531, 909]
7648	17	17-20	17-2112	manager industrial engineering capacity planning senior	[1, 294, 177, 0, 248, 12]
7649	53	53-70	53-7051	propane filler dock forklift operator	[0, 1427, 370, 128, 38]
7650	17	17-20	17-2141	lead piping designer	[37, 875, 176]
7651	17	17-20	17-2141	senior piping designer	[12, 875, 176]
7652	41	41-30	41-3091	inbound customer focused sales consultant	[386, 5, 0, 3, 21]
7653	43	43-50	43-5051	mail handler clerk	[287, 187, 13]
7654	43	43-60	43-6011	exec admin assistant	[1586, 199, 2]
7655	29	29-20	29-2061	licensed vocational nurse	[136, 522, 30]
7656	13	13-20	13-2072	real estate agent loan officer	[275, 282, 49, 64, 42]
7657	11	11-90	11-9141	realtor association management cooperative ramco manager	[471, 669, 60, 0, 0, 1]
7658	11	11-10	11-1011	director government affairs	[16, 470, 421]
7659	13	13-10	13-1151	technology consultant corporate trainer	[170, 21, 96, 110]
7660	13	13-10	13-1082	capstone project team manager	[1358, 23, 75, 1]
7661	49	49-90	49-9071	facilities maintenance technician	[277, 72, 24]
7662	43	43-60	43-6011	executive assistant project coordinator	[19, 2, 23, 14]
7663	41	41-20	41-2031	customer marketing sales associate	[5, 35, 3, 9]
7664	41	41-40	41-4012	national accounts sales associate	[175, 48, 3, 9]
7665	43	43-30	43-3021	certified medical billing specialist	[74, 26, 84, 7]
7666	31	31-90	31-9097	technician npa certified phlebotomy technician	[24, 0, 74, 513, 24]
7667	29	29-10	29-1141	registered nurse mother baby gyn unit	[94, 30, 1657, 0, 950, 173]
7668	29	29-10	29-1141	travel registered nurse assignment	[258, 94, 30, 397]
7669	29	29-10	29-1141	registered nurse post op surgical unit	[94, 30, 600, 704, 337, 173]
7670	15	15-12	15-1251	vb.net programmer	[0, 104]
7671	15	15-12	15-1251	flash programmer	[0, 104]
7672	15	15-12	15-1254	css .net developer	[1640, 658, 66]
7673	15	15-12	15-1299	senior project manager program manager	[12, 23, 1, 115, 1]
7674	15	15-12	15-1252	project manager sr software engineer	[23, 1, 53, 82, 22]
7675	13	13-20	13-2011	internal control consultant	[231, 97, 21]
7676	13	13-20	13-2011	senior financial analyst accountant	[12, 43, 11, 36]
7677	13	13-10	13-1071	human resources recruiting coordinator	[33, 41, 265, 14]
7678	43	43-60	43-6013	dental office manager	[209, 8, 1]
7679	13	13-10	13-1071	recruiter ii	[132, 61]
7680	43	43-40	43-4111	military admissions representative	[894, 255, 6]
7681	13	13-10	13-1071	executive banking recruiter	[19, 375, 132]
7682	11	11-30	11-3031	assistant branch manager collections manager	[2, 106, 1, 138, 1]
7683	13	13-20	13-2072	mortgage consultant	[160, 21]
7684	21	21-10	21-1093	lead check specialist field services	[37, 735, 7, 145, 47]
7685	43	43-40	43-4051	customer service specialist scheduling team leader	[5, 4, 7, 531, 75, 109]
7686	43	43-10	43-1011	supervisor administrative procedures	[18, 10, 0]
7687	13	13-10	13-1031	casualty claims adjuster	[965, 81, 334]
7688	11	11-10	11-1021	operations manager fulfillment	[20, 1, 1009]
7689	43	43-60	43-6011	administrative assistant educational director	[10, 2, 619, 16]
7690	15	15-12	15-1232	sr office assistant automated sys computer help desk coordinator	[53, 8, 2, 1052, 1658, 76, 117, 58, 14]
7691	43	43-90	43-9022	csea typist	[1659, 646]
7692	43	43-60	43-6014	csea secretary primary school extended time reading program	[1659, 46, 611, 194, 1198, 113, 809, 115]
7693	11	11-90	11-9051	end catering manager	[300, 350, 1]
7694	25	25-20	25-2021	4th grade teacher	[623, 336, 51]
7695	25	25-20	25-2021	4th grade teacher picture rocks elementary school	[623, 336, 51, 0, 0, 648, 194]
7696	41	41-40	41-4012	industrial marketing representative	[294, 35, 6]
7697	31	31-10	31-1122	direct support staff	[284, 17, 52]
7698	11	11-90	11-9199	loss prevention manager	[292, 373, 1]
7699	13	13-10	13-1141	employee benefits representative	[222, 221, 6]
7700	11	11-20	11-2021	channel vendor manager duties	[525, 481, 1, 444]
7701	43	43-40	43-4051	service rep	[4, 44]
7702	15	15-12	15-1232	customer support technician	[5, 17, 24]
7703	41	41-30	41-3031	finance representative	[93, 6]
7704	43	43-90	43-9041	medical claims processor appeals disputes coordinator	[26, 81, 112, 695, 1612, 14]
7705	43	43-90	43-9041	virtual medical claims processor	[884, 26, 81, 112]
7706	43	43-40	43-4051	medicare appeals adjuster	[616, 695, 334]
7707	43	43-30	43-3031	billing processor member eligibility tpa	[84, 112, 101, 1629, 0]
7708	43	43-40	43-4171	medical office receptionist	[26, 8, 27]
7709	13	13-20	13-2081	internal revenue officer	[231, 395, 42]
7710	43	43-50	43-5031	police dispatcher	[1136, 174]
7711	41	41-40	41-4011	outside sales rep medical equipment cpap bipap machines hospitals	[192, 3, 44, 26, 303, 0, 0, 1218, 1363]
7712	41	41-40	41-4012	outside account executive	[192, 29, 19]
7713	15	15-12	15-1244	contract administrator project engineer	[80, 34, 23, 22]
7714	43	43-10	43-1011	office manager billing coordinator	[8, 1, 84, 14]
7715	29	29-20	29-2099	patient service rep ii	[98, 4, 44, 61]
7716	43	43-90	43-9041	insurance verification rep	[116, 1079, 44]
7717	13	13-10	13-1031	health claims examiner	[73, 81, 214]
7718	43	43-40	43-4171	desk clerk receptionist	[58, 13, 27]
7719	15	15-12	15-1211	programmer analyst iii	[104, 11, 169]
7720	21	21-10	21-1091	certified diabetes educator	[74, 914, 393]
7721	21	21-10	21-1091	certified diabetes educator joslin center diabetes	[74, 914, 393, 0, 77, 914]
7722	11	11-90	11-9111	clinical nutrition manager	[161, 709, 1]
7723	11	11-90	11-9051	director food nutrition services	[16, 162, 709, 47]
7724	29	29-10	29-1031	clinical dietitian	[161, 0]
7725	43	43-90	43-9061	receptionist clerical	[27, 122]
7726	13	13-10	13-1161	lead data survey analyst	[37, 45, 0, 11]
7727	13	13-10	13-1161	information support analyst insight global temp	[120, 17, 11, 1660, 208, 163]
7728	13	13-10	13-1161	data analyst insight global temp	[45, 11, 1660, 208, 163]
7729	43	43-30	43-3031	accounting assistant temp internship program	[40, 2, 163, 318, 115]
7730	13	13-10	13-1023	purchasing buyer iii senior purchasing buyer	[86, 105, 169, 12, 86, 105]
7731	13	13-10	13-1023	purchasing buyer ii	[86, 105, 61]
7732	53	53-30	53-3032	shuttle driver truck driver	[1661, 25, 89, 25]
7733	53	53-30	53-3032	road driver	[701, 25]
7734	53	53-70	53-7051	driver warehouse worker	[25, 62, 68]
7735	15	15-12	15-1212	information security analyst	[120, 63, 11]
7736	15	15-12	15-1211	sr analyst programmer	[53, 11, 104]
7737	49	49-90	49-9041	maintenance mechanic install	[72, 171, 1662]
7738	49	49-90	49-9071	maintenance mechanic campbell soup	[72, 171, 0, 0]
7739	49	49-90	49-9071	electrician maintenance mechanic	[148, 72, 171]
7740	51	51-10	51-1011	shop supervisor	[304, 18]
7741	11	11-90	11-9021	piping superintendent	[875, 179]
7742	51	51-10	51-1011	welding superintendent	[929, 179]
7743	11	11-90	11-9021	senior superintendent	[12, 179]
7744	51	51-10	51-1011	coordinator welding hook supervisor	[14, 929, 0, 18]
7745	41	41-40	41-4012	sales support representative	[3, 17, 6]
7746	43	43-10	43-1011	payroll administrator accounting	[103, 34, 40]
7747	43	43-40	43-4051	claims customer service representative	[81, 5, 4, 6]
7748	15	15-12	15-1232	field support specialist	[145, 17, 7]
7749	15	15-12	15-1244	network administrator dispatcher	[70, 34, 174]
7750	15	15-12	15-1232	help desk data technicians	[117, 58, 45, 741]
7751	15	15-12	15-1244	network tech	[70, 135]
7752	43	43-30	43-3031	accounting assistant desktop support	[40, 2, 126, 17]
7753	15	15-12	15-1242	radioshack dba	[0, 382]
7754	43	43-60	43-6014	assistant supervisor desktop support	[2, 18, 126, 17]
7755	53	53-30	53-3032	quality culvert class cdl driver astatula floida	[71, 0, 306, 627, 25, 0, 0]
7756	53	53-30	53-3033	class delivery driver	[306, 172, 25]
7757	41	41-20	41-2011	money center associate loss prevention cashier	[903, 77, 9, 292, 373, 15]
7758	11	11-10	11-1021	store manager pb2	[39, 1, 0]
7759	13	13-20	13-2072	loan facilitator	[64, 394]
7760	13	13-20	13-2072	mtg interim loan underwriter	[0, 351, 64, 256]
7761	11	11-30	11-3031	credit leasing underwriting mgr	[111, 424, 538, 313]
7762	13	13-20	13-2051	investor repurchase analyst	[991, 0, 11]
7763	13	13-20	13-2072	mortgage underwriter	[160, 256]
7764	13	13-20	13-2072	wholesale mortgage underwriter	[418, 160, 256]
7765	13	13-20	13-2072	sr mortgage underwriter	[53, 160, 256]
7766	21	21-10	21-1012	assessment counselor	[565, 88]
7767	43	43-30	43-3031	accounts receivable accounts payable	[48, 134, 48, 85]
7768	43	43-30	43-3011	credit collection	[111, 186]
7769	43	43-10	43-1011	branch supervisor	[106, 18]
7770	43	43-40	43-4051	customer support associate	[5, 17, 9]
7771	13	13-10	13-1151	sales development specialist	[3, 54, 7]
7772	43	43-60	43-6013	administrative assistant medical records	[10, 2, 26, 182]
7773	11	11-30	11-3031	asset manager	[357, 1]
7774	43	43-40	43-4051	clients service	[1089, 4]
7775	43	43-30	43-3011	citigroup auto collection agent	[0, 309, 186, 49]
7776	43	43-40	43-4051	service support representative	[4, 17, 6]
7777	43	43-40	43-4051	human resources benefits customer service associate	[33, 41, 221, 5, 4, 9]
7778	49	49-90	49-9051	revenue equipment lineman	[395, 303, 1064]
7779	11	11-10	11-1011	president elect	[31, 0]
7780	13	13-10	13-1082	team lead project management	[75, 37, 23, 60]
7781	15	15-12	15-1244	pvcs administrator	[0, 34]
7782	15	15-12	15-1211	programmer analyst project management	[104, 11, 23, 60]
7783	41	41-30	41-3031	senior payment solutions consultant costco sales channel	[12, 708, 335, 21, 0, 3, 525]
7784	43	43-30	43-3011	collections specialist	[138, 7]
7785	43	43-40	43-4161	hr coordinator recruiting assistant	[108, 14, 265, 2]
7786	43	43-40	43-4051	account customer service representative	[29, 5, 4, 6]
7787	15	15-12	15-1232	hardware software support engineer	[369, 82, 17, 22]
7788	15	15-12	15-1252	sofware support engineer	[0, 17, 22]
7789	11	11-30	11-3021	manager information systems	[1, 120, 56]
7790	13	13-10	13-1031	claims examiner hipa administration	[81, 214, 0, 133]
7791	13	13-10	13-1141	mahoney benefits administration	[0, 221, 133]
7792	13	13-10	13-1141	national employee benefit administrators	[175, 222, 480, 0]
7793	13	13-10	13-1031	claims examiner supervisor	[81, 214, 18]
7794	15	15-12	15-1211	business systems analyst project manager	[28, 56, 11, 23, 1]
7795	15	15-12	15-1232	system support analyst	[180, 17, 11]
7796	11	11-20	11-2022	regional sales manager midwest	[69, 3, 1, 482]
7797	11	11-20	11-2022	midwest regional sales director	[482, 69, 3, 16]
7798	11	11-20	11-2022	midwest regional sales manager	[482, 69, 3, 1]
7799	41	41-40	41-4012	sales representative dist	[3, 6, 0]
7800	11	11-30	11-3021	division manager cost accounting computer systems	[200, 1, 234, 40, 76, 56]
7801	29	29-20	29-2052	pharmacy help desk representative	[142, 117, 58, 6]
7802	43	43-40	43-4051	online care associate	[472, 55, 9]
7803	11	11-20	11-2022	sales administrator digital photographer	[3, 34, 548, 0]
7804	43	43-30	43-3031	billing accounts receivable assistant	[84, 48, 134, 2]
7805	43	43-30	43-3031	accounts receivable accounts payable telecom service coordinator	[48, 134, 48, 85, 788, 4, 14]
7806	11	11-30	11-3061	sourcing manager servicers	[323, 1, 0]
7807	11	11-30	11-3061	sourcing manager services	[323, 1, 47]
7808	41	41-10	41-1011	igned supervisor	[0, 18]
7809	41	41-20	41-2011	cashier pro sales associate head cashier	[15, 604, 3, 9, 191, 15]
7810	43	43-10	43-1011	cashier guest service representative	[15, 260, 4, 6]
7811	53	53-70	53-7065	driver mailroom clerk warehouse operations	[25, 468, 13, 62, 20]
7812	53	53-70	53-7051	shipping receiving certified operator	[129, 119, 74, 38]
7813	43	43-40	43-4051	repair management claims support representative	[398, 60, 81, 17, 6]
7814	43	43-10	43-1011	customer service supervisor agent	[5, 4, 18, 49]
7815	43	43-40	43-4051	customer service representative clerical administration	[5, 4, 6, 122, 133]
7816	15	15-12	15-1254	sr web developer	[53, 156, 66]
7817	15	15-12	15-1252	software developer testing	[82, 66, 696]
7818	15	15-12	15-1244	telephony network engineer	[1663, 70, 22]
7819	29	29-20	29-2072	supplemental staffing medical records clerk	[1664, 283, 26, 182, 13]
7820	13	13-20	13-2011	principal accountant financial analyst	[229, 36, 43, 11]
7821	13	13-20	13-2011	principal accountant	[229, 36]
7822	13	13-20	13-2051	financial analyst loss analysis	[43, 11, 292, 320]
7823	43	43-30	43-3031	reconciliation accountant accounts payables	[830, 36, 48, 644]
7824	43	43-40	43-4051	logistics coordinator customer service	[155, 14, 5, 4]
7825	43	43-40	43-4051	insurance customer service	[116, 5, 4]
7826	43	43-60	43-6011	p t present office coordinator	[631, 1437, 0, 8, 14]
7827	21	21-10	21-1093	community outreach liaison	[189, 381, 449]
7828	41	41-30	41-3091	provider sales executive web based software	[374, 3, 19, 156, 1038, 82]
7829	11	11-20	11-2021	strategic business manager distribution	[253, 28, 1, 281]
7830	41	41-10	41-1011	sales manager home infusion therapies	[3, 1, 100, 1166, 0]
7831	11	11-20	11-2022	regional manager alternative care markets	[69, 1, 0, 55, 761]
7832	11	11-20	11-2022	region sales manager infusion injectible services	[293, 3, 1, 1166, 0, 47]
7833	11	11-90	11-9111	territory business manager pharmacy nursing care	[141, 28, 1, 142, 92, 55]
7834	15	15-12	15-1232	helpdesk specialist	[254, 7]
7835	15	15-12	15-1232	desktop support helpdesk technician info services	[126, 17, 254, 24, 1665, 47]
7836	15	15-12	15-1232	helpdesk analyst technology service desk	[254, 11, 170, 4, 58]
7837	15	15-12	15-1244	desktop support network administrator	[126, 17, 70, 34]
7838	15	15-12	15-1211	computer systems analyst	[76, 56, 11]
7839	15	15-12	15-1232	senior helpdesk analyst	[12, 254, 11]
7840	15	15-12	15-1232	computer systems support specialist	[76, 56, 17, 7]
7841	11	11-10	11-1021	rental operations manager	[453, 20, 1]
7842	29	29-20	29-2061	license practical assignment	[332, 197, 397]
7843	29	29-20	29-2061	senior license practical nurse	[12, 332, 197, 30]
7844	13	13-10	13-1023	contract analyst vendor management contract negotiations	[80, 11, 481, 60, 80, 0]
7845	11	11-30	11-3021	executive director information technology operations	[19, 16, 120, 170, 20]
7846	15	15-12	15-1232	contractor international help desk engineer	[207, 237, 117, 58, 22]
7847	15	15-12	15-1232	help desk site administrator	[117, 58, 269, 34]
7848	15	15-12	15-1232	senior help desk administrator lead	[12, 117, 58, 34, 37]
7849	11	11-30	11-3071	executive import export	[19, 654, 589]
7850	15	15-12	15-1252	senior software developer	[12, 82, 66]
7851	15	15-12	15-1252	lead software developer	[37, 82, 66]
7852	15	15-12	15-1252	software contractor	[82, 207]
7853	15	15-12	15-1252	lead software engineer	[37, 82, 22]
7854	15	15-12	15-1244	software engineer network administrator	[82, 22, 70, 34]
7855	11	11-10	11-1011	amra zazula president la pelle	[0, 0, 31, 1557, 0]
7856	43	43-40	43-4081	desk agent	[58, 49]
7857	43	43-60	43-6014	administrative assistant bookkeeper	[10, 2, 124]
7858	43	43-40	43-4081	hotel operations coordinator desk representative concierge night auditor	[0, 20, 14, 58, 6, 882, 236, 102]
7859	43	43-60	43-6014	office administrator assistant coordinator	[8, 34, 2, 14]
7860	43	43-10	43-1011	office administrator personnel supervisor	[8, 34, 702, 18]
7861	43	43-40	43-4051	customer service representative gift registry coordinator	[5, 4, 6, 845, 0, 14]
7862	17	17-20	17-2112	lead teams process improvements dmaic sigma	[37, 1180, 246, 0, 0, 1666]
7863	53	53-70	53-7065	warehouse ii	[62, 61]
7864	13	13-20	13-2011	operations accountant	[20, 36]
7865	11	11-30	11-3031	controller office manager	[79, 8, 1]
7866	53	53-70	53-7065	tag clerk	[0, 13]
7867	11	11-20	11-2022	divisional sales manager	[738, 3, 1]
7868	41	41-20	41-2031	pre owned vehicle sales good challenged credit exp	[358, 0, 526, 3, 0, 0, 111, 0]
7869	51	51-10	51-1011	engraving tool manufacture shop foreman	[0, 720, 972, 304, 465]
7870	21	21-10	21-1012	enrollment counselor team lead	[348, 88, 75, 37]
7871	21	21-10	21-1012	finance counselor enrollment counselor	[93, 88, 348, 88]
7872	43	43-10	43-1011	hard lines manager soft lines manager customer service manager	[964, 409, 1, 1654, 409, 1, 5, 4, 1]
7873	13	13-20	13-2072	customer loan specialist	[5, 64, 7]
7874	13	13-20	13-2072	real estate loan officer	[275, 282, 64, 42]
7875	13	13-10	13-1151	senior trainer mbts trainer	[12, 110, 1667, 110]
7876	13	13-10	13-1151	senior trainer mbts trainer sales effectiveness manager	[12, 110, 1667, 110, 3, 1646, 1]
7877	13	13-10	13-1151	corporate trainer team builder	[96, 110, 75, 503]
7878	41	41-20	41-2031	sales coworker	[3, 0]
7879	41	41-40	41-4012	accessories manager fashion representative	[1582, 1, 1137, 6]
7880	15	15-12	15-1244	network operations technician	[70, 20, 24]
7881	15	15-12	15-1232	laptop remote systems technician	[1058, 921, 56, 24]
7882	41	41-40	41-4012	territory sales reprsentative	[141, 3, 0]
7883	41	41-40	41-4012	outside sales account executive	[192, 3, 29, 19]
7884	31	31-90	31-9091	orthodontist assistant	[0, 2]
7885	43	43-40	43-4171	clerk receptionist	[13, 27]
7886	43	43-30	43-3031	accounting department clerk	[40, 83, 13]
7887	15	15-12	15-1211	systems integration services	[56, 484, 47]
7888	43	43-60	43-6014	administrative asst receptionist	[10, 168, 27]
7889	43	43-90	43-9199	finance assistant cashier assistant pasting clerk	[93, 2, 15, 2, 0, 13]
7890	43	43-40	43-4031	clerk court dakota county traffic division	[13, 662, 0, 517, 496, 200]
7891	13	13-20	13-2072	loan counsel	[64, 673]
7892	41	41-30	41-3031	finance sales	[93, 3]
7893	41	41-30	41-3091	account executive reprographics consultant	[29, 19, 1258, 21]
7894	41	41-30	41-3091	event sales representative	[271, 3, 6]
7895	41	41-20	41-2031	certified sales associate	[74, 3, 9]
7896	13	13-20	13-2081	tax specialist enrolled agent	[181, 7, 0, 49]
7897	53	53-70	53-7065	warehouse materials specialist	[62, 220, 7]
7898	13	13-10	13-1081	logistics coordinator mcs	[155, 14, 1668]
7899	15	15-12	15-1244	sys admin engineer	[1658, 199, 22]
7900	11	11-10	11-1021	operations manager e business	[20, 1, 454, 28]
7901	15	15-12	15-1232	senior product support specialist	[12, 107, 17, 7]
7902	15	15-12	15-1232	product support specialist ii	[107, 17, 7, 61]
7903	11	11-20	11-2032	communications director	[223, 16]
7904	11	11-20	11-2032	mgr broadcast communications	[313, 0, 223]
7905	11	11-90	11-9151	director social services	[16, 195, 47]
7906	43	43-30	43-3031	key accounts specialist	[307, 48, 7]
7907	33	33-90	33-9032	security officer licensed guard card	[63, 42, 136, 165, 476]
7908	43	43-60	43-6014	administrative assistant customer service	[10, 2, 5, 4]
7909	43	43-90	43-9021	data entry clerk contract benefit specialist	[45, 59, 13, 80, 480, 7]
7910	43	43-90	43-9061	administrative assistant data entry clerk	[10, 2, 45, 59, 13]
7911	43	43-30	43-3011	collection representative	[186, 6]
7912	43	43-30	43-3011	recovery specialist	[401, 7]
7913	21	21-10	21-1093	field benefits advocate	[145, 221, 305]
7914	41	41-30	41-3021	life health accident insurance sales agent	[388, 73, 1229, 116, 3, 49]
7915	11	11-90	11-9141	leasing manager	[424, 1]
7916	43	43-40	43-4051	customer service specialist ii	[5, 4, 7, 61]
7917	11	11-30	11-3031	portfolio manager	[274, 1]
7918	11	11-10	11-1011	acting executive director	[457, 19, 16]
7919	43	43-40	43-4161	human resource office projects generalist work	[33, 150, 8, 359, 210, 345]
7920	11	11-30	11-3121	human resource mgr generalist	[33, 150, 313, 210]
7921	51	51-10	51-1011	production crew leader	[67, 153, 109]
7922	51	51-90	51-9198	production line	[67, 218]
7923	41	41-20	41-2031	customer service technician sales customer service	[5, 4, 24, 3, 5, 4]
7924	43	43-60	43-6014	secretary administrator	[46, 34]
7925	43	43-40	43-4051	w.d.a representative	[0, 6]
7926	43	43-50	43-5031	dispatcher operator	[174, 38]
7927	43	43-40	43-4051	teleservices associate	[944, 9]
7928	15	15-12	15-1252	business software developer	[28, 82, 66]
7929	15	15-12	15-1299	web development administration	[156, 54, 133]
7930	15	15-12	15-1232	desk support manager	[58, 17, 1]
7931	13	13-20	13-2051	expense report analyst	[464, 1406, 11]
7932	13	13-10	13-1141	hr benefits administrator	[108, 221, 34]
7933	43	43-40	43-4161	data entry assistant human resources information systems hris	[45, 59, 2, 33, 41, 120, 56, 1642]
7934	35	35-30	35-3023	cashier drive food prep	[15, 680, 162, 466]
7935	11	11-30	11-3031	global accounts payable manager	[208, 48, 85, 1]
7936	13	13-20	13-2011	team leader payroll taxes accounting	[75, 109, 103, 0, 40]
7937	11	11-10	11-1021	manager general accounting	[1, 32, 40]
7938	43	43-10	43-1011	supervisor cost accounting accounts receivable timekeeping	[18, 234, 40, 48, 134, 1609]
7939	15	15-12	15-1241	telecommunications specialist	[441, 7]
7940	41	41-10	41-1011	supervisor manager	[18, 1]
7941	11	11-90	11-9199	corporate director compliance	[96, 16, 249]
7942	43	43-40	43-4171	receptionist csr	[27, 251]
7943	15	15-12	15-1252	senior lead software developer contractor	[12, 37, 82, 66, 207]
7944	13	13-10	13-1199	independent consulting contracts projects	[296, 578, 414, 359]
7945	15	15-12	15-1251	programming intern	[638, 91]
7946	29	29-20	29-2099	patient relations	[98, 198]
7947	43	43-30	43-3021	lead insurance biller	[37, 116, 257]
7948	29	29-20	29-2099	reimbursement representative	[790, 6]
7949	43	43-90	43-9061	sams clerk aecom	[0, 13, 0]
7950	43	43-10	43-1011	shop office ncoic	[304, 8, 1247]
7951	53	53-70	53-7065	automated logistical clerk	[1052, 869, 13]
7952	53	53-70	53-7065	store helper stores clerk storekeeper ii storekeep	[39, 379, 936, 13, 1280, 61, 0]
7953	47	47-20	47-2152	apprentice pipefitter welder	[272, 0, 647]
7954	25	25-20	25-2011	early childhood teacher ii	[1181, 1182, 51, 61]
7955	25	25-20	25-2011	early childhood teacher	[1181, 1182, 51]
7956	31	31-10	31-1131	stna medical assistant	[733, 26, 2]
7957	21	21-10	21-1093	parent male involvement coordinator	[475, 0, 0, 14]
7958	43	43-60	43-6014	service coordinator administrative assistant	[4, 14, 10, 2]
7959	11	11-30	11-3121	employment manager human resources director	[289, 1, 33, 41, 16]
7960	43	43-10	43-1011	service center support manager	[4, 77, 17, 1]
7961	43	43-10	43-1011	little rock arkansas manager customer service center	[0, 0, 0, 1, 5, 4, 77]
7962	43	43-10	43-1011	manager customer service center	[1, 5, 4, 77]
7963	43	43-60	43-6014	temporary employee desk administrative support	[157, 222, 58, 10, 17]
7964	43	43-90	43-9061	administrative office support representative	[10, 8, 17, 6]
7965	43	43-90	43-9061	temporary office help stepped	[157, 8, 117, 0]
7966	11	11-30	11-3121	human resources manager accounts receivable	[33, 41, 1, 48, 134]
7967	11	11-10	11-1021	paratransit brokerage manager addison	[1209, 1669, 1, 0]
7968	15	15-12	15-1244	security administrator operations support	[63, 34, 20, 17]
7969	43	43-60	43-6014	regional administrative assistant contract	[69, 10, 2, 80]
7970	43	43-40	43-4051	executive assistant global customer services	[19, 2, 208, 5, 47]
7971	43	43-60	43-6014	office coordinator assistant rvp contract	[8, 14, 2, 0, 80]
7972	43	43-60	43-6011	operations facilities oversight executive administrative assistant	[20, 277, 0, 19, 10, 2]
7973	43	43-60	43-6014	administrative assistant contractor	[10, 2, 207]
7974	43	43-40	43-4171	receptionist cashier	[27, 15]
7975	11	11-20	11-2021	marketing director healthcare	[35, 16, 489]
7976	11	11-10	11-1021	marketing operations manager	[35, 20, 1]
7977	11	11-10	11-1021	externship manager	[445, 1]
7978	21	21-10	21-1093	default prevention specialist career services representative	[1148, 373, 7, 447, 47, 6]
7979	21	21-10	21-1023	social case worker	[195, 114, 68]
7980	21	21-10	21-1012	career counselor employment skills instructor	[447, 88, 289, 928, 196]
7981	41	41-10	41-1011	american kiosk management	[746, 1334, 60]
7982	11	11-90	11-9151	director volunteer services	[16, 243, 47]
7983	13	13-20	13-2051	financial analyst staff accountant consultant cfs staffing volt staffing	[43, 11, 52, 36, 21, 0, 283, 0, 283]
7984	13	13-20	13-2011	staff accountant consultant apple employment	[52, 36, 21, 1269, 289]
7985	13	13-20	13-2011	staff accountant consultant ajilon finance	[52, 36, 21, 0, 93]
7986	13	13-20	13-2011	accountant financial analyst	[36, 43, 11]
7987	11	11-90	11-9151	elderly advocate volunteer director	[946, 305, 243, 16]
7988	11	11-90	11-9151	director family services	[16, 244, 47]
7989	29	29-10	29-1141	staff rn	[52, 137]
7990	29	29-10	29-1141	travel rn	[258, 137]
7991	41	41-40	41-4012	account manager contractor sales market sell building materials	[29, 1, 207, 3, 238, 1119, 377, 220]
7992	43	43-10	43-1011	center customer service supervisor manager directed	[77, 5, 4, 18, 1, 0]
7993	13	13-20	13-2011	payroll tax accountant	[103, 181, 36]
7994	13	13-20	13-2011	accountant contract	[36, 80]
7995	13	13-20	13-2011	accountant private consultant	[36, 402, 21]
7996	13	13-20	13-2011	accountant non profit	[36, 918, 750]
7997	43	43-60	43-6014	internship administrative assistant	[318, 10, 2]
